id,chapter,Question,Answer
161,"Chapter 2","What regulates the supercharger to deliver a constant boost/manifold absolute pressure (MAP)?","The auto boost control (ABC) keeps the boost pressure/MAP constant during a climb or a descent."
162,"Chapter 2","How is engine power monitored?","There are two main engine power monitoring/indication systems: manifold absolute pressure (MAP) and boost pressure."
163,"Chapter 2","What is carburetor icing?","(See Chapter 8, 'Meteorology and Weather Recognition,' page 264.)"
164,"Chapter 2","When would you expect carburetor icing in a piston engine?","(See Chapter 9, 'Flight Operations and Technique,' page 325.)"
165,"Chapter 2","What actions should you take to prevent or remove carburetor/throttle icing in a piston engine?","(See Chapter 9, 'Flight Operations and Technique,' page 325.)"
166,"Chapter 2","What advantages does an aircraft gain from a propeller?","The propeller provides the following advantages: 1. The propeller creates a high-energy slipstream (extra lift, suppresses stall speed, makes fin/rudder more effective). 2. Quick response rate to throttle input."
167,"Chapter 2","What is the main disadvantage of a propeller?","A propeller-driven aircraft suffers from a lack of airspeed due to propeller rpm limitations as a result of propeller compressibility losses (blade tips becoming sonic)."
168,"Chapter 2","What produces thrust on a propeller-driven aircraft?","The forward thrust is a result of Newton's third law. The propeller drives an accelerated mass of air rearward, and the thrust force developed by the propeller is equal to the mass of the air and the rate of change in momentum given to the air."
169,"Chapter 2","What restrictions does the propeller design have?","Restricted in: 1. Blade length (ground clearance, tip speeds). 2. Blade chord size (efficiency, centrifugal twisting moment). 3. Number of blades (hub diameter, weight, interference)."
170,"Chapter 2","How does the propeller convert engine horsepower to produce thrust?","The propeller is connected to the engine via a prop shaft that rotates the propeller, which generates an accelerated mass of air rearward, thereby converting the shaft horsepower of the engine into a thrust force."
171,"Chapter 2","Why is the propeller blade twisted?","The propeller blade is twisted along its length to maintain a constant blade angle of attack."
172,"Chapter 2","How do you define propelier efficiency?","The propeller efficiency in producing thrust to propel an aircraft forward is determined as the ratio of the useful work done by the propeller (propeller thrust) in moving the aircraft to the work supplied by the engine (engine bhp)."
173,"Chapter 2","What are the disadvantages of a fixed-pitch propeller?","The failing of a fixed-pitch propeller is that it only produces its maximum efficiency (i.e., best blade angle/pitch for rpm speed) at one predetermined engine rpm, altitude, and forward airspeed condition."
174,"Chapter 2","What is a variable-pitch propeller, and why is it used?","Variable-pitch propellers are a development of the fixed-pitch propeller that have a variable and controllable blade angle. This is used to adjust the blade angle of attack to its optimal setting... over a wide range of aircraft speeds."
175,"Chapter 2","What controls the propeller blade angle/speed?","A constant-speed unit (CSU) (sometimes called a governor unit) controls the propeller's blade angle/pitch to maintain an rpm speed."
176,"Chapter 2","Why is a turboprop aircraft better suited for short regional operations?","1. A jet engine is suited to high altitudes... 2. The turboprop engine is designed to operate at its most efficient at a medium altitude. 3. High-lift straight wing is capable of meeting field lengths of restrictive airfields. 4. Better economical design for short sector demand."
177,"Chapter 2","Is there a critical engine on a propeller aircraft?","Yes, especially on aircraft with propellers rotating in the same direction."
178,"Chapter 2","Why is the number 1 engine the critical engine on a multiengine propeller aircraft?","1. Slipstream effect: Failure of #1 means slipstream from #2 aggravates yaw. 2. Asymmetric blade effect: The downward moving blade produces more thrust. For counterclockwise rotation (viewed from front), #1 has the shortest thrust moment arm."
179,"Chapter 2","How does a crosswind affect the critical engine?","A crosswind, depending on its direction, can either help to restore or aggravate the yawing moment of an aircraft with a failed critical engine."
180,"Chapter 2","What is a windmilling propeller?","Windmilling is experienced when the rpm is reduced but the airspeed is maintained, which eventually will cause the blade angle of attack to become negative. The resulting force will act in a rearward direction (drag)."
181,"Chapter 2","Can you obtain ground reverse/braking thrust from propellers?","It is possible to increase the braking effect on some aircraft types by reversing the pitch of the propeller (negative angle), causing it to produce thrust in the opposite direction."
182,"Chapter 2","What is propeller feathering, and why is it used?","Feathering the propeller is accomplished in the event of an inflight engine failure or fire. It turns blades edge on to the airflow, causing the propeller not to windmill or create extra drag."
183,"Chapter 2","How do propeller aircraft generate noise?","The noise generated by a propeller aircraft is from the sheer effect of different displaced air velocities."
184,"Chapter 2","How is propeller noise controlled or reduced?","1. Increase the number of propeller blades (reduces velocity for same thrust). 2. Reduced-thrust takeoff. 3. Maximum-angle climb after takeoff."
185,"Chapter 2","What is the theory of a jet/gas turbine engine?","A jet/gas turbine produces thrust... by propelling the aircraft forward as a result of thrusting a large weight of air rearward. (Balloon theory/Newton's third law)."
